Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,4,1.25,1.31066017,4357.91016,4357.91016,17431.6406,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,100000
1,3,0.559016994,0.75,1867.67578,1867.67578,5603.02734,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,98132.3242,95642.0898,100000,100000,100000,98132.3242,98132.3242,100000
1,4,1,1,1867.67578,3735.35156,11206.0547,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,98132.3242,95642.0898,100000,96264.6484,96264.6484,96264.6484,96264.6484,100000
1,4,1.03077641,1.10355339,1556.39648,5291.74805,15563.9648,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,94708.252,94708.252,94708.252,95642.0898,100000,96264.6484,96264.6484,96264.6484,94708.252,100000
1,3,0.75,0.75,1152.22186,2708.61834,6569.45854,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,100000,94708.252,94708.252,94708.252,95642.0898,100000,96264.6484,93556.0301,93556.0301,93556.0301,100000
1,2,0.5,0.5,1245.11719,1245.11719,2490.23438,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,100000,100000,100000,95642.0898,100000,98754.8828,94708.252,94708.252,94708.252,95642.0898,98754.8828,96264.6484,93556.0301,93556.0301,93556.0301,100000
1,3,0.75,0.75,1593.01758,2838.13477,6024.16992,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,97161.8652,100000,100000,95642.0898,100000,97161.8652,94708.252,94708.252,94708.252,95642.0898,97161.8652,96264.6484,93556.0301,93556.0301,93556.0301,100000
1,4,1,1.20710678,3014.76419,4571.16067,14549.2911,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,97161.8652,100000,100000,95642.0898,100000,97161.8652,94708.252,91693.4878,91693.4878,91693.4878,97161.8652,91693.4878,93556.0301,93556.0301,93556.0301,100000
1,4,0.790569415,1.35355339,1208.84969,9515.36193,26916.8007,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,97161.8652,100000,90484.6381,95642.0898,90484.6381,97161.8652,94708.252,90484.6381,91693.4878,91693.4878,90484.6381,91693.4878,93556.0301,93556.0301,93556.0301,100000
1,4,0.901387819,1.10355339,1424.86796,6582.31973,15137.1653,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,97161.8652,100000,89059.7701,89059.7701,90484.6381,97161.8652,94708.252,90484.6381,91693.4878,89059.7701,90484.6381,91693.4878,93556.0301,93556.0301,89059.7701,100000
1,3,0.790569415,1,1756.2326,4827.62462,11411.4818,100000,95642.0898,100000,100000,100000,100000,95642.0898,100000,100000,97161.8652,100000,89059.7701,89059.7701,90484.6381,97161.8652,94708.252,88728.4055,91693.4878,89059.7701,90484.6381,91693.4878,88728.4055,88728.4055,89059.7701,100000
1,4,1.25,1.45710678,3449.98017,7807.89033,24035.5164,100000,92192.1097,92192.1097,100000,100000,100000,95642.0898,100000,92192.1097,97161.8652,100000,89059.7701,89059.7701,90484.6381,92192.1097,94708.252,88728.4055,91693.4878,89059.7701,90484.6381,91693.4878,88728.4055,88728.4055,89059.7701,100000
0,0,0.559016994,0,3111.66865,3111.66865,3111.66865,100000,92192.1097,92192.1097,100000,100000,100000,95642.0898,100000,92192.1097,97161.8652,100000,89059.7701,89059.7701,90484.6381,92192.1097,94708.252,88728.4055,88581.8191,89059.7701,90484.6381,91693.4878,88728.4055,88728.4055,89059.7701,100000
