Success,Sent messages,Starting distance,One used energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10,Node energy 11,Node energy 12,Node energy 13,Node energy 14,Node energy 15,Node energy 16,Node energy 17,Node energy 18,Node energy 19,Node energy 20,Node energy 21,Node energy 22,Node energy 23,Node energy 24,Node energy 25
1,8,1.03077641,49.6387482,100000,100000,100000,99950.3613,99950.3613,100000,100000,100000,99950.3613,99950.3613,100000,100000,100000,99950.3613,99950.3613,100000,100000,100000,100000,100000,100000,100000,100000,99950.3613,100000
1,3,0.5,45.9432602,100000,100000,100000,99950.3613,99950.3613,100000,100000,100000,99950.3613,99950.3613,100000,100000,100000,99950.3613,99904.418,100000,100000,100000,100000,99954.0567,100000,100000,100000,99950.3613,100000
1,10,1.25,51.2123108,100000,99948.7877,99948.7877,99950.3613,99950.3613,100000,99948.7877,99948.7877,99899.1489,99950.3613,100000,100000,99948.7877,99950.3613,99904.418,100000,99948.7877,100000,100000,99902.8444,100000,100000,99948.7877,99950.3613,100000
1,6,1.03077641,49.6387482,100000,99948.7877,99948.7877,99900.7225,99900.7225,100000,99948.7877,99948.7877,99849.5102,99900.7225,100000,100000,99948.7877,99900.7225,99904.418,100000,99948.7877,100000,100000,99902.8444,100000,100000,99948.7877,99950.3613,100000
0,7,1.25,51.2123108,100000,99897.5754,99897.5754,99849.5102,99900.7225,100000,99897.5754,99897.5754,99798.2979,99900.7225,100000,100000,99948.7877,99900.7225,99904.418,100000,99948.7877,100000,100000,99902.8444,100000,100000,99948.7877,99950.3613,100000
1,6,1.11803399,47.0638275,100000,99897.5754,99897.5754,99849.5102,99900.7225,100000,99897.5754,99897.5754,99798.2979,99900.7225,99952.9362,99952.9362,99948.7877,99900.7225,99904.418,99952.9362,99948.7877,100000,100000,99902.8444,99952.9362,99952.9362,99948.7877,99950.3613,100000
1,9,1.25,51.2123108,100000,99897.5754,99897.5754,99849.5102,99900.7225,99948.7877,99846.3631,99846.3631,99798.2979,99900.7225,99901.7239,99901.7239,99897.5754,99900.7225,99853.2057,99952.9362,99948.7877,100000,100000,99902.8444,99901.7239,99952.9362,99948.7877,99950.3613,100000
1,5,0.790569415,35.8104706,100000,99897.5754,99897.5754,99849.5102,99900.7225,99948.7877,99846.3631,99846.3631,99798.2979,99900.7225,99901.7239,99901.7239,99897.5754,99900.7225,99853.2057,99952.9362,99912.9772,99964.1895,99964.1895,99902.8444,99901.7239,99917.1257,99948.7877,99950.3613,100000
1,7,1.03077641,49.6387482,100000,99897.5754,99897.5754,99799.8714,99851.0838,99948.7877,99846.3631,99846.3631,99748.6591,99851.0838,99901.7239,99901.7239,99897.5754,99851.0838,99853.2057,99952.9362,99912.9772,99964.1895,99914.5508,99902.8444,99901.7239,99917.1257,99948.7877,99950.3613,100000
1,6,0.790569415,35.8104706,100000,99897.5754,99897.5754,99799.8714,99851.0838,99948.7877,99846.3631,99846.3631,99748.6591,99851.0838,99901.7239,99901.7239,99897.5754,99851.0838,99853.2057,99952.9362,99877.1667,99928.3791,99914.5508,99867.034,99901.7239,99881.3152,99948.7877,99914.5508,100000
1,6,1.03077641,49.6387482,100000,99897.5754,99897.5754,99799.8714,99851.0838,99948.7877,99846.3631,99846.3631,99748.6591,99851.0838,99901.7239,99901.7239,99897.5754,99851.0838,99853.2057,99903.2974,99827.528,99878.7403,99864.912,99867.034,99852.0851,99881.3152,99948.7877,99914.5508,100000
1,7,0.901387819,36.0488892,100000,99897.5754,99897.5754,99799.8714,99851.0838,99948.7877,99846.3631,99846.3631,99748.6591,99851.0838,99901.7239,99865.675,99861.5265,99815.0349,99853.2057,99903.2974,99791.4791,99842.6914,99864.912,99867.034,99852.0851,99881.3152,99912.7388,99914.5508,100000
0,4,1,79.202652,100000,99897.5754,99897.5754,99799.8714,99771.8811,99948.7877,99846.3631,99846.3631,99748.6591,99771.8811,99901.7239,99865.675,99861.5265,99815.0349,99774.003,99903.2974,99791.4791,99842.6914,99864.912,99867.034,99852.0851,99881.3152,99912.7388,99914.5508,100000
