Success,Hop-number,Starting distance,Travel sum,Min used energy,Max used energy,Sum used energy,Optimal sum energy,Path optimal sum energy,Node energy 1,Node energy 2,Node energy 3,Node energy 4,Node energy 5,Node energy 6,Node energy 7,Node energy 8,Node energy 9,Node energy 10
1,2,9.8663254906,9.8663353139,13671.875,13671.875,27343.75,27343.75,27343.75,2000000,2000000,1986328.125,2000000,2000000,1986328.125,2000000,2000000,2000000,2000000
1,2,9.2191517162,9.2242514473,13427.734375,13427.734375,26855.46875,26855.46875,26855.46875,2000000,1986572.2656,1986328.125,2000000,2000000,1986328.125,2000000,2000000,1986572.2656,2000000
1,2,9.5807995473,9.6465599277,13671.875,13671.875,27343.75,27099.609375,27343.75,2000000,1986572.2656,1986328.125,2000000,2000000,1986328.125,1986328.125,1986328.125,1986572.2656,2000000
1,2,9.0385209968,9.5228078117,848.75524044,14276.489615,15125.244856,13427.734375,13427.734375,2000000,1985723.5104,1986328.125,2000000,1985723.5104,1986328.125,1986328.125,1986328.125,1986572.2656,2000000
1,2,9.050523103,10.440657617,2303.481102,15975.356102,18278.837204,13549.804688,13549.804688,2000000,1985723.5104,1984024.6439,1984024.6439,1985723.5104,1986328.125,1986328.125,1986328.125,1986572.2656,2000000
1,2,9.0843854457,10.651462929,2909.6603394,16581.535339,19491.195679,27099.609375,13549.804688,1983418.4647,1985723.5104,1984024.6439,1984024.6439,1985723.5104,1986328.125,1986328.125,1983418.4647,1986572.2656,2000000
1,1,9.2191517162,9.2191517162,14065.086842,14065.086842,14065.086842,26855.46875,14038.085938,1983418.4647,1985723.5104,1984024.6439,1984024.6439,1985723.5104,1986328.125,1986328.125,1983418.4647,1972507.1788,2000000
1,2,9.5235999572,9.5237973943,11867.334906,13566.201393,25433.536299,27099.609375,27099.609375,1983418.4647,1972157.309,1984024.6439,1972157.309,1985723.5104,1986328.125,1986328.125,1983418.4647,1972507.1788,2000000
1,2,9.0843854457,9.3443250724,11621.592566,13926.63829,25548.230857,27099.609375,13549.804688,1983418.4647,1972157.309,1984024.6439,1972157.309,1971796.8721,1986328.125,1986328.125,1971796.8721,1972507.1788,2000000
1,2,9.2006716288,10.098964001,1203.4893018,15734.742208,16938.231509,26855.46875,13916.015625,1983418.4647,1972157.309,1984024.6439,1972157.309,1970593.3828,1986328.125,1970593.3828,1971796.8721,1972507.1788,2000000
1,2,9.5807995473,10.199605725,721.65285014,16456.395058,17178.047908,27099.609375,15136.71875,1983418.4647,1972157.309,1984024.6439,1972157.309,1970593.3828,1969871.7299,1969871.7299,1971796.8721,1972507.1788,2000000
1,2,9.8663254906,9.8663353139,1082.0828595,15234.996815,16317.079675,27343.75,27343.75,1983418.4647,1972157.309,1968789.6471,1972157.309,1970593.3828,1968789.6471,1969871.7299,1971796.8721,1972507.1788,2000000
1,2,9.2006716288,10.515458029,3487.9887757,16313.070644,19801.05942,26855.46875,13916.015625,1967105.394,1972157.309,1968789.6471,1972157.309,1967105.394,1968789.6471,1969871.7299,1971796.8721,1972507.1788,2000000
1,2,9.8663254906,10.196115446,10454.388385,13822.050294,24276.438679,27343.75,27343.75,1967105.394,1958335.2587,1968789.6471,1972157.309,1967105.394,1958335.2587,1969871.7299,1971796.8721,1972507.1788,2000000
1,2,9.050523103,10.065895584,10454.388385,14171.920085,24626.30847,13549.804688,13549.804688,1967105.394,1958335.2587,1958335.2587,1972157.309,1967105.394,1958335.2587,1969871.7299,1971796.8721,1958335.2587,2000000
1,2,9.2191517162,9.5131888568,717.16379103,14178.777187,14895.940978,26855.46875,27343.75,1967105.394,1958335.2587,1958335.2587,1972157.309,1967105.394,1958335.2587,1969871.7299,1957618.0949,1957618.0949,2000000
1,2,9.0385209968,10.008876355,1553.8548806,15375.905174,16929.760055,13427.734375,13427.734375,1967105.394,1956781.4038,1958335.2587,1956781.4038,1967105.394,1958335.2587,1969871.7299,1957618.0949,1957618.0949,2000000
1,2,9.0843854457,10.142974029,3106.5716838,15360.206719,18466.778403,27099.609375,13549.804688,1967105.394,1956781.4038,1958335.2587,1956781.4038,1967105.394,1958335.2587,1954511.5232,1954511.5232,1957618.0949,2000000
1,2,9.050523103,9.7298357436,5259.2011342,14029.336453,19288.537587,13549.804688,13549.804688,1967105.394,1956781.4038,1953076.0576,1956781.4038,1953076.0576,1958335.2587,1954511.5232,1954511.5232,1957618.0949,2000000
1,2,9.0385209968,10.665481926,5971.6229365,16295.613136,22267.236072,13427.734375,13427.734375,1950809.7809,1950809.7809,1953076.0576,1956781.4038,1953076.0576,1958335.2587,1954511.5232,1954511.5232,1957618.0949,2000000
1,2,9.2006716288,9.5443995146,9536.5041873,14078.54153,23615.045718,26855.46875,13916.015625,1950809.7809,1950809.7809,1953076.0576,1956781.4038,1943539.5534,1958335.2587,1954511.5232,1954511.5232,1943539.5534,2000000
1,1,9.8663254906,9.8663254906,16016.658,16016.658,16016.658,27343.75,15991.210938,1950809.7809,1950809.7809,1953076.0576,1956781.4038,1943539.5534,1942318.6007,1954511.5232,1954511.5232,1943539.5534,2000000
1,2,9.2191517162,9.8335890275,1897.9878451,15139.838286,17037.826131,26855.46875,14038.085938,1950809.7809,1950809.7809,1953076.0576,1941641.5655,1943539.5534,1942318.6007,1954511.5232,1954511.5232,1941641.5655,2000000
1,2,9.5807995473,9.6465599277,13599.506448,13599.506448,27199.012896,27099.609375,27343.75,1950809.7809,1950809.7809,1953076.0576,1941641.5655,1943539.5534,1942318.6007,1940912.0168,1940912.0168,1941641.5655,2000000
1,2,9.8474174913,10.105164458,11430.52606,13696.802743,25127.328803,27099.609375,27343.75,1939379.2548,1950809.7809,1939379.2548,1941641.5655,1943539.5534,1942318.6007,1940912.0168,1940912.0168,1941641.5655,2000000
1,2,9.0843854457,9.4015995098,3672.3799146,13570.144021,17242.523935,27099.609375,27099.609375,1939379.2548,1937239.6369,1939379.2548,1941641.5655,1943539.5534,1942318.6007,1940912.0168,1937239.6369,1941641.5655,2000000
1,2,9.8663254906,10.048913354,12921.919402,14142.87208,27064.791481,27343.75,28076.171875,1939379.2548,1937239.6369,1939379.2548,1941641.5655,1929396.6813,1929396.6813,1940912.0168,1937239.6369,1941641.5655,2000000
1,2,9.5235999572,9.5291407865,13983.990767,13983.990767,27967.981535,27099.609375,28076.171875,1939379.2548,1937239.6369,1939379.2548,1927657.5748,1929396.6813,1929396.6813,1940912.0168,1937239.6369,1927657.5748,2000000
1,1,9.050523103,9.050523103,13494.216006,13494.216006,13494.216006,13549.804688,13549.804688,1939379.2548,1937239.6369,1925885.0388,1927657.5748,1929396.6813,1929396.6813,1940912.0168,1937239.6369,1927657.5748,2000000
1,2,9.0385209968,10.414294252,11587.492945,15259.87286,26847.365805,13427.734375,13427.734375,1939379.2548,1925652.1439,1925885.0388,1927657.5748,1929396.6813,1929396.6813,1925652.1439,1937239.6369,1927657.5748,2000000
1,2,9.8663254906,9.9792318014,6123.5734514,13966.529015,20090.102466,27343.75,27587.890625,1939379.2548,1925652.1439,1925885.0388,1927657.5748,1929396.6813,1923273.1078,1925652.1439,1923273.1078,1927657.5748,2000000
1,2,9.2006716288,10.515458029,6241.3344793,16223.908004,22465.242483,26855.46875,13916.015625,1923155.3468,1925652.1439,1925885.0388,1927657.5748,1923155.3468,1923273.1078,1925652.1439,1923273.1078,1927657.5748,2000000
1,1,9.2191517162,9.2191517162,14000.930871,14000.930871,14000.930871,26855.46875,14038.085938,1923155.3468,1925652.1439,1925885.0388,1927657.5748,1923155.3468,1923273.1078,1925652.1439,1923273.1078,1913656.6439,2000000
0,1,9.0843854457,0.56526783234,10682.241993,15066.708912,25748.950905,27099.609375,13549.804688,1923155.3468,1925652.1439,1925885.0388,1912590.8659,1923155.3468,1923273.1078,1925652.1439,1912590.8659,1913656.6439,2000000
1,2,9.8474174913,10.105164458,11033.728186,13763.420183,24797.148369,27099.609375,27343.75,1912121.6186,1925652.1439,1912121.6186,1912590.8659,1923155.3468,1923273.1078,1925652.1439,1912590.8659,1913656.6439,2000000
1,2,9.2191517162,9.2242514473,1518.4043195,13513.904342,15032.308662,26855.46875,26855.46875,1912121.6186,1912138.2396,1912121.6186,1912590.8659,1923155.3468,1923273.1078,1925652.1439,1912590.8659,1912138.2396,2000000
1,2,9.0843854457,10.142974029,2451.4409291,15512.718992,17964.159921,27099.609375,13549.804688,1912121.6186,1912138.2396,1912121.6186,1912590.8659,1923155.3468,1923273.1078,1910139.4249,1910139.4249,1912138.2396,2000000
1,2,9.5235999572,9.6227325022,3502.0584702,14066.539435,17568.597906,27099.609375,28076.171875,1912121.6186,1912138.2396,1912121.6186,1909088.8074,1909088.8074,1923273.1078,1910139.4249,1910139.4249,1912138.2396,2000000
1,2,9.5235999572,10.751521734,2679.995274,16864.295737,19544.291011,27099.609375,14892.578125,1912121.6186,1912138.2396,1912121.6186,1906408.8121,1909088.8074,1906408.8121,1910139.4249,1910139.4249,1912138.2396,2000000
1,1,9.050523103,9.050523103,13537.970444,13537.970444,13537.970444,13549.804688,13549.804688,1912121.6186,1912138.2396,1898583.6482,1906408.8121,1909088.8074,1906408.8121,1910139.4249,1910139.4249,1912138.2396,2000000
1,1,9.0385209968,9.0385209968,13421.380466,13421.380466,13421.380466,13427.734375,13427.734375,1912121.6186,1898716.8591,1898583.6482,1906408.8121,1909088.8074,1906408.8121,1910139.4249,1910139.4249,1912138.2396,2000000
1,2,9.8663254906,10.297325938,8610.4890195,14339.916485,22950.405504,27343.75,28320.3125,1912121.6186,1898716.8591,1898583.6482,1906408.8121,1909088.8074,1897798.3231,1910139.4249,1910139.4249,1897798.3231,2000000
1,1,9.0843854457,9.0843854457,13640.522016,13640.522016,13640.522016,27099.609375,13549.804688,1912121.6186,1898716.8591,1898583.6482,1906408.8121,1909088.8074,1897798.3231,1910139.4249,1896498.9029,1897798.3231,2000000
1,2,9.5235999572,10.189704726,10239.500456,15952.306979,26191.807435,27099.609375,14892.578125,1896169.3117,1898716.8591,1898583.6482,1896169.3117,1909088.8074,1897798.3231,1910139.4249,1896498.9029,1897798.3231,2000000
1,2,9.8474174913,9.8687121662,1735.9948532,14655.490583,16391.485436,27099.609375,28076.171875,1894433.3168,1898716.8591,1898583.6482,1896169.3117,1894433.3168,1897798.3231,1910139.4249,1896498.9029,1897798.3231,2000000
1,2,9.0385209968,10.414294252,4171.9852861,15594.551102,19766.536388,13427.734375,13427.734375,1894433.3168,1894544.8738,1898583.6482,1896169.3117,1894433.3168,1897798.3231,1894544.8738,1896498.9029,1897798.3231,2000000
1,2,9.8474174913,10.105164458,9597.0437802,13747.375168,23344.418948,27099.609375,27343.75,1884836.273,1894544.8738,1884836.273,1896169.3117,1894433.3168,1897798.3231,1894544.8738,1896498.9029,1897798.3231,2000000
1,2,9.2006716288,9.5443995146,10637.687082,14002.693371,24640.380453,26855.46875,13916.015625,1884836.273,1894544.8738,1884836.273,1896169.3117,1883795.6297,1897798.3231,1894544.8738,1896498.9029,1883795.6297,2000000
1,2,9.2191517162,9.5131888568,1264.7553666,13968.028556,15232.783922,26855.46875,27343.75,1884836.273,1894544.8738,1884836.273,1896169.3117,1883795.6297,1897798.3231,1894544.8738,1882530.8744,1882530.8744,2000000
1,2,9.0843854457,9.4015995098,1608.6079249,13622.607395,15231.21532,27099.609375,27099.609375,1884836.273,1880922.2664,1884836.273,1896169.3117,1883795.6297,1897798.3231,1894544.8738,1880922.2664,1882530.8744,2000000
1,2,9.5235999572,10.751521734,14582.356767,16211.368203,30793.72497,27099.609375,14892.578125,1884836.273,1880922.2664,1884836.273,1881586.9549,1883795.6297,1881586.9549,1894544.8738,1880922.2664,1882530.8744,2000000
1,2,9.2191517162,10.354287088,3561.9175479,15575.917018,19137.834566,26855.46875,14038.085938,1884836.273,1880922.2664,1884836.273,1881586.9549,1883795.6297,1881586.9549,1878968.9568,1880922.2664,1878968.9568,2000000
1,2,9.8474174913,10.105164458,13689.911895,13689.911895,27379.82379,27099.609375,27343.75,1871146.3611,1880922.2664,1871146.3611,1881586.9549,1883795.6297,1881586.9549,1878968.9568,1880922.2664,1878968.9568,2000000
1,2,9.0843854457,9.3443250724,11135.831289,14009.194581,25145.02587,27099.609375,13549.804688,1871146.3611,1880922.2664,1871146.3611,1881586.9549,1869786.4351,1881586.9549,1878968.9568,1869786.4351,1878968.9568,2000000
1,1,9.0385209968,9.0385209968,13431.878978,13431.878978,13431.878978,13427.734375,13427.734375,1871146.3611,1867490.3874,1871146.3611,1881586.9549,1869786.4351,1881586.9549,1878968.9568,1869786.4351,1878968.9568,2000000
1,2,9.5807995473,10.161656696,12385.781698,15003.77978,27389.561478,27099.609375,30029.296875,1871146.3611,1867490.3874,1871146.3611,1866583.1751,1869786.4351,1881586.9549,1866583.1751,1869786.4351,1878968.9568,2000000
1,2,9.2006716288,10.714567215,4679.0309961,16479.550745,21158.581741,26855.46875,13916.015625,1871146.3611,1867490.3874,1871146.3611,1866583.1751,1865107.4041,1865107.4041,1866583.1751,1869786.4351,1878968.9568,2000000
1,2,9.0385209968,9.4048821668,2507.6164871,13986.185842,16493.802329,13427.734375,13427.734375,1871146.3611,1864982.771,1871146.3611,1866583.1751,1865107.4041,1865107.4041,1866583.1751,1869786.4351,1864982.771,2000000
1,2,9.5235999572,9.9675807632,9114.1756597,13677.361678,22791.537338,27099.609375,27343.75,1871146.3611,1864982.771,1857468.9994,1857468.9994,1865107.4041,1865107.4041,1866583.1751,1869786.4351,1864982.771,2000000
1,2,9.8474174913,9.8884308833,13715.227801,15075.153788,28790.38159,27099.609375,27343.75,1856071.2073,1864982.771,1857468.9994,1857468.9994,1865107.4041,1865107.4041,1866583.1751,1856071.2073,1864982.771,2000000
1,2,9.2006716288,9.3606571797,13535.821441,13660.45462,27196.276061,26855.46875,26855.46875,1856071.2073,1851446.9495,1857468.9994,1857468.9994,1851446.9495,1865107.4041,1866583.1751,1856071.2073,1864982.771,2000000
1,2,9.050523103,10.137230075,6122.029173,15236.204833,21358.234006,13549.804688,13549.804688,1856071.2073,1851446.9495,1851346.9703,1857468.9994,1851446.9495,1865107.4041,1851346.9703,1856071.2073,1864982.771,2000000
1,2,9.0843854457,9.6479551274,5211.1374229,14122.701049,19333.838472,27099.609375,13549.804688,1856071.2073,1851446.9495,1851346.9703,1857468.9994,1851446.9495,1865107.4041,1851346.9703,1850860.0699,1850860.0699,2000000
1,2,9.5235999572,10.751521734,8616.1892064,16254.593901,24870.783108,27099.609375,14892.578125,1856071.2073,1851446.9495,1851346.9703,1848852.8102,1851446.9495,1848852.8102,1851346.9703,1850860.0699,1850860.0699,2000000
1,2,9.5235999572,10.189704726,8801.9115722,16020.308669,24822.220241,27099.609375,14892.578125,1840050.8987,1851446.9495,1851346.9703,1840050.8987,1851446.9495,1848852.8102,1851346.9703,1850860.0699,1850860.0699,2000000
1,2,9.2006716288,9.3606571797,13447.399108,13447.399108,26894.798217,26855.46875,26855.46875,1840050.8987,1837999.5504,1851346.9703,1840050.8987,1837999.5504,1848852.8102,1851346.9703,1850860.0699,1850860.0699,2000000
1,2,9.0385209968,9.4474639587,1009.6433077,13870.162808,14879.806116,13427.734375,13427.734375,1840050.8987,1836989.9071,1851346.9703,1840050.8987,1837999.5504,1848852.8102,1851346.9703,1836989.9071,1850860.0699,2000000
1,1,9.050523103,9.050523103,13446.672941,13446.672941,13446.672941,13549.804688,13549.804688,1840050.8987,1836989.9071,1837900.2973,1840050.8987,1837999.5504,1848852.8102,1851346.9703,1836989.9071,1850860.0699,2000000
1,2,9.0385209968,9.4048821668,336.36289803,14206.525706,14542.888604,13427.734375,13427.734375,1840050.8987,1836653.5442,1837900.2973,1840050.8987,1837999.5504,1848852.8102,1851346.9703,1836989.9071,1836653.5442,2000000
1,2,9.050523103,10.137230075,2019.1775728,15465.850514,17485.028086,13549.804688,13549.804688,1840050.8987,1836653.5442,1835881.1198,1840050.8987,1837999.5504,1848852.8102,1835881.1198,1836989.9071,1836653.5442,2000000
1,2,9.2191517162,10.944499712,4596.117878,16795.383911,21391.501789,26855.46875,14038.085938,1840050.8987,1836653.5442,1835881.1198,1840050.8987,1837999.5504,1832057.4263,1835881.1198,1836989.9071,1832057.4263,2000000
1,2,9.2191517162,9.8335890275,6932.834499,14926.306838,21859.141337,26855.46875,14038.085938,1840050.8987,1836653.5442,1835881.1198,1825124.5918,1837999.5504,1832057.4263,1835881.1198,1836989.9071,1825124.5918,2000000
1,2,9.0385209968,9.5228078117,12667.349273,14013.355479,26680.704753,13427.734375,13427.734375,1840050.8987,1823986.1949,1835881.1198,1825124.5918,1823986.1949,1832057.4263,1835881.1198,1836989.9071,1825124.5918,2000000
1,2,9.8663254906,10.564773184,8162.8535231,16156.325862,24319.179385,27343.75,15991.210938,1823894.5728,1823986.1949,1835881.1198,1825124.5918,1823986.1949,1823894.5728,1835881.1198,1836989.9071,1825124.5918,2000000
1,2,9.5807995473,9.6465599277,12549.968592,13658.755937,26208.724529,27099.609375,27343.75,1823894.5728,1823986.1949,1835881.1198,1825124.5918,1823986.1949,1823894.5728,1823331.1512,1823331.1512,1825124.5918,2000000
1,1,9.050523103,9.050523103,13446.39492,13446.39492,13446.39492,13549.804688,13549.804688,1823894.5728,1823986.1949,1822434.7248,1825124.5918,1823986.1949,1823894.5728,1823331.1512,1823331.1512,1825124.5918,2000000
1,2,9.5235999572,9.5291407865,14035.992344,14035.992344,28071.984689,27099.609375,28076.171875,1823894.5728,1823986.1949,1822434.7248,1811088.5995,1823986.1949,1823894.5728,1823331.1512,1823331.1512,1811088.5995,2000000
1,2,9.050523103,9.817441833,12013.119524,13564.589618,25577.709142,13549.804688,13549.804688,1823894.5728,1810421.6053,1810421.6053,1811088.5995,1823986.1949,1823894.5728,1823331.1512,1823331.1512,1811088.5995,2000000
1,2,9.2191517162,9.5259194272,1215.9408322,14113.53628,15329.477112,26855.46875,27832.03125,1823894.5728,1810421.6053,1810421.6053,1811088.5995,1809872.6587,1823894.5728,1823331.1512,1823331.1512,1809872.6587,2000000
